106;13.806409;51.010886;Dresden Mügelner Straße
107;13.811494;51.013747;Dresden Breitscheidstraße
108;13.800808;51.010127;Dresden Trattendorfer Straße
109;13.804663;51.010688;Dresden Betriebshof Reick
110;13.731387;51.035126;Dresden Reichenbachstraße
111;13.726943;51.031775;Dresden Nürnberger Platz
112;13.72208;51.034041;Dresden Südvorstadt
113;13.72157;51.029895;Dresden Münchner Platz
114;13.715769;51.027625;Dresden Plauen Nöthnitzer Str.
115;13.723966;51.0545;Dresden Jahnstraße
116;13.702331;51.04332;Dresden Löbtau Gröbelstraße
117;13.713278;51.046657;Dresden Rosenstraße
118;13.709619;51.044886;Dresden Oederaner Straße
119;13.706268;51.043739;Dresden Saxoniastraße
120;13.703473;51.043735;Dresden Tharandter Straße
121;13.698662;51.04358;Dresden Bünaustraße
122;13.691273;51.042752;Dresden Malterstraße
123;13.68342;51.042461;Dresden Koblenzer Straße
124;13.68166;51.043098;Dresden Wölfnitz
125;13.722869;51.058373;Dresden Weißeritzstraße
126;13.694133;51.043349;Dresden Neuer Annenfriedhof
127;13.713012;51.050275;Dresden Cottaer Straße
128;13.707575;51.046318;Dresden Wernerstraße
129;13.705072;51.038354;Dresden Clara-Viebig-Straße
130;13.703595;51.034617;Dresden Würzburger Straße
131;13.701882;51.031847;Dresden Fritz-Schulze-Straße
132;13.70721;51.028254;Dresden Coschützer Straße
133;13.713619;51.0246;Dresden Westendstraße
134;13.717408;51.022225;Dresden Cämmerswalder Straße
135;13.710347;51.02169;Dresden Kotteweg
136;13.706133;51.019109;Dresden Saarstraße
137;13.700946;51.016416;Dresden Achtbeeteweg
138;13.698672;51.015811;Dresden Coschütz
139;13.703303;51.029776;Dresden Hp Plauen
140;13.706062;51.051329;Dresden Semmelweisstraße
141;13.696351;51.049025;Dresden Burgkstraße
142;13.692088;51.049069;Dresden Pennricher Straße
143;13.693159;51.045979;Dresden Conertplatz
144;13.690936;51.053059;Dresden Birkenhainer Straße
145;13.687055;51.056945;Dresden Altcotta
146;13.684296;51.058756;Dresden Ockerwitzer Straße
147;13.687874;51.049256;Dresden Chamissostraße
148;13.682743;51.051335;Dresden Hebbelplatz
149;13.718203;51.05988;DD Krankenhaus Friedrichstadt
150;13.714578;51.061012;Dresden Vorwerkstraße
151;13.7119;51.060341;DD Betriebshof Waltherstraße
152;13.714685;51.05657;Dresden Manitiusstraße
153;13.710064;51.058121;Dresden Waltherstraße
154;13.701603;51.059233;Dresden Hamburger Straße
155;13.694836;51.060653;Dresden Bremer Straße
156;13.690361;51.061545;Dresden Flügelweg
157;13.680854;51.061781;DD Cossebauder Str (Hp Cotta)
158;13.67773;51.060999;Dresden Gottfried-Keller-Str.
159;13.67047;51.059431;Dresden Leutewitz
160;13.708391;51.056087;Dresden Bahnhof Friedrichstadt
161;13.683391;51.062122;Dresden Hp Cotta
162;13.720139;51.054764;Dresden Koreanischer Platz
163;13.739117;51.066376;Dresden Bf Neustadt (Hansastr)
164;13.737805;51.064867;Dresden Eisenbahnstraße
165;13.717125;51.077381;Dresden Altpieschen
166;13.731641;51.067916;Dresden Alter Schlachthof
167;13.72857;51.070874;Dresden Alexander-Puschkin-Pl
168;13.723068;51.074507;Dresden Oschatzer Straße
169;13.71391;51.080377;Dresden Mickten
170;13.70812;51.078924;Dresden Trachauer Straße
171;13.698695;51.074495;Dresden Rethelstraße
172;13.709004;51.084341;Dresden Alttrachau
173;13.704807;51.085859;Dresden Rankestraße
174;13.703422;51.088576;Dresden Am Trachauer Bahnhof
175;13.702569;51.090215;Dresden Geblerstraße
176;13.699735;51.092351;Dresden Kleestraße
177;13.693884;51.074034;Dresden Scharfenberger Straße
178;13.699079;51.077177;Dresden An der Flutrinne
179;13.697135;51.079822;Dresden Sörnewitzer Straße
180;13.691259;51.08228;Dresden Washingtonstraße
181;13.73471;51.075197;DD Großenhainer/F.-Reuter-Str.
182;13.7314;51.077134;Dresden Liststr (Harkortstr)
183;13.738203;51.069419;Dresden Lößnitzstraße
184;13.735759;51.072737;Dresden Großenhainer Platz
185;13.733008;51.076616;Dresden Liststraße
186;13.725569;51.076897;Dresden Bürgerstraße
187;13.721748;51.077376;Dresden Rathaus Pieschen
188;13.74088;51.073434;Dresden Friedensstraße
189;13.746874;51.07196;Dresden Bischofsplatz
190;13.730389;51.082157;Dresden Zeithainer Straße
191;13.727798;51.084631;Dresden Trachenberger Platz
192;13.729499;51.087375;Dresden Btf Trachenberge
193;13.723317;51.089633;Dresden Hubertusplatz
194;13.720627;51.092926;Dresden Dorothea-Erxleben-Str
195;13.719248;51.095769;Dresden Wilder Mann
196;13.752864;51.073758;Dresden Tannenstraße
197;13.745351;51.06827;Dresden Dammweg
198;13.747637;51.067957;Dresden Louisenstraße
199;13.750735;51.071425;Dresden Bischofsweg
200;13.755501;51.069916;Dresden Alaunplatz
201;13.753702;51.066104;Dresden Görlitzer Straße
202;13.755541;51.076621;Dresden Stauffenbergallee
203;13.760264;51.081881;Dresden Heeresbäckerei
204;13.76302;51.086784;Dresden Industriegelände
205;13.766028;51.093049;Dresden Hellersiedlung
206;13.768829;51.099111;Dresden Moritzburger Weg
207;13.770191;51.10301;Dresden Infineon Süd
208;13.763232;51.110747;Dresden Am Hellerrand
209;13.759518;51.112601;Dresden Heinrich-Tessenow-Weg
210;13.751092;51.112602;Dresden Festspielhaus Hellerau
211;13.746135;51.115588;Dresden Brunnenweg
212;13.740695;51.116784;Dresden Hellerau Kiefernweg
213;13.772865;51.10759;Dresden Infineon Nord
214;13.775766;51.110611;Dresden Karl-Marx-Straße
215;13.784064;51.11435;Dresden Zur Neuen Brücke
216;13.789508;51.118474;Dresden Käthe-Kollwitz-Platz
217;13.791219;51.123195;Dresden Arkonastraße
218;13.792644;51.127533;DD Industriepark Klotzsche
219;13.76592;51.0951;Dresden Diebsteig
220;13.760656;51.074908;Dresden Hans-Oster-Straße
221;13.750046;51.061484;DD Kleines Haus (Glacisstr.)
222;13.759961;51.070136;Dresden Kamenzer Straße
223;13.757533;51.063296;Dresden Pulsnitzer Straße
224;13.762435;51.064264;Dresden Diakonissenkrankenhaus
225;13.769368;51.066137;Dresden Nordstraße
226;13.777602;51.06728;Dresden Waldschlößchen
227;13.78374;51.066998;Dresden Angelikastraße
228;13.789583;51.067196;Dresden Wilhelminenstraße
229;13.797767;51.065947;Dresden Elbschlösser
230;13.811699;51.064302;Dresden Mordgrundbrücke
231;13.821493;51.063763;Dresden Plattleite
232;13.831263;51.061875;Dresden Am Weißen Adler
233;13.838923;51.062231;Dresden Schwimmhalle Bühlau
234;13.848508;51.061828;Dresden Grundstraße
235;13.85487;51.062159;Dresden Bühlau Ullersdorfer Pl
236;13.843663;51.061959;Dresden Hegereiterstraße
237;13.750875;51.031266;Dresden Weberplatz
238;13.749272;51.033762;Dresden Strehlener Platz
239;13.745847;51.028366;Dresden Zellescher Weg
240;13.742473;51.023535;Dresden Räcknitzhöhe
241;13.741155;51.019177;Dresden Münzmeisterstraße
242;13.803319;51.008362;Dresden Albert-Wolf-Platz
243;13.799037;51.005237;Dresden Jacob-Winter-Platz
244;13.797862;51.002118;Dresden Georg-Palitzsch-Straße
245;13.799603;50.998513;DD Prohlis Einkaufszentrum
246;13.680109;51.042392;Dresden Julius-Vahlteich-Str.
247;13.67982;51.046235;Dresden Dahlienweg
248;13.68069;51.0482;Dresden Coventrystraße
249;13.678296;51.045484;Dresden Amalie-Dietrich-Platz
250;13.669996;51.044677;Dresden Merianplatz
251;13.663548;51.046216;Dresden Kirschenstraße
252;13.658921;51.048826;Dresden Schlehenstraße
253;13.652989;51.046851;Dresden Betriebshof Gorbitz
254;13.645459;51.040009;Dresden Altnossener Straße
255;13.637862;51.038893;Gompitz Rudolf-Walther-Straße
256;13.632504;51.040182;Gompitz Gompitzer Höhe
257;13.625835;51.040706;Pennrich Gleisschleife
258;13.773484;51.045794;DD Fetscherpl. (Ost)
259;13.78222;51.047495;Dresden Wormser Straße
260;13.861592;51.009596;DD Fährstelle Kleinzschachwitz
261;13.863789;51.011072;Dresden Fährstelle Pillnitz
262;13.837615;51.031723;Dresden Fährstelle Laubegast
263;13.839446;51.032233;DD Fährstelle Niederpoyritz
264;13.766584;51.061586;Dresden Fährstelle Johannstadt
265;13.765736;51.062911;Dresden Fährstelle Neustadt
266;13.622795;51.04349;Pennrich Podemuser Straße
267;13.635944;51.043127;Gompitz Hohlweg
268;13.641605;51.041906;Gompitz Schule
269;13.625998;51.043329;Pennrich Oskar-Maune-Straße
270;13.647834;51.056309;Ockerwitz Am Querfeld
271;13.643018;51.05564;Ockerwitz
272;13.599042;51.053553;Unkersdorf Abzweig Roitzsch
273;13.602834;51.044413;Steinbach (Dresden)
274;13.591069;51.05813;Unkersdorf Kirche
275;13.592232;51.055858;Unkersdorf Teichweg
276;13.611682;51.044588;Zöllmen Zschonerbach
277;13.635993;51.070805;Altleuteritz
278;13.63334;51.036808;Gompitz Kohlsdorfer Landstraße
279;13.62303;51.069386;Brabschütz Zum Schwarm
280;13.637037;51.068453;Merbitz Gewerbegebiet
281;13.638187;51.071107;Merbitz Autobahnbrücke
282;13.626268;51.061619;Podemus Roitzscher Straße
283;13.640839;51.058574;Podemus Zschonergrundmühle
284;13.609839;51.069173;Rennersdorf
285;13.644126;51.075249;Altmobschatz
286;13.645166;51.077994;Mobschatz Am Tummelsgrund
287;13.640943;51.081272;Mobschatz Am Hang
288;13.631631;51.085106;Cossebaude Bahnhof
289;13.611722;51.08229;Oberwartha Albertplatz
290;13.639722;51.081855;Cb. Gewerbegeb. Breitscheidstr
291;13.62889;51.085099;Cossebaude Eichbergstraße
292;13.628474;51.087874;Cossebaude Erna-Berger-Straße
293;13.625926;51.083603;Cossebaude Weinbergstraße
294;13.623286;51.084431;Cossebaude Sonnenleite
295;13.615982;51.082887;Cossebaude Parkweg
296;13.635605;51.087324;Cossebaude Ludwigstraße
297;13.639035;51.087025;Cossebaude Gohliser Weg
298;13.631472;51.087895;Cossebaude Schulstraße
299;13.619272;51.080261;Cossebaude Talstraße
300;13.622508;51.089125;Cossebaude An den Winkelwiesen
301;13.645193;51.085194;Dresden Gohlis
302;13.606488;51.093527;Niederwartha Haltepunkt
303;13.613666;51.088519;Niederwartha Amselgrund
304;13.609237;51.090477;Niederwartha Rohrbahn
305;13.606736;51.089963;Niederwartha Hermann-Große-Str
306;13.603361;51.091421;Niederwartha Oberwarthaer Str.
307;13.608577;51.081317;Oberwartha Dorotheenstraße
308;13.603235;51.080788;Oberwartha Friedensplatz
